freq	mag(S(1,1))
7.07000000000000028E5	9.83145477699293657E-1
7.08499999999999908E5	9.83194077901109864E-1
7.09999999999999964E5	9.83959304944500524E-1
7.11500000000000021E5	9.84724531987891183E-1
7.12999999999999989E5	9.85228730575176748E-1
7.14500000000000046E5	9.84990002018163580E-1
7.15999999999999925E5	9.84751273461150234E-1
7.17499999999999982E5	9.84512544904137243E-1
7.19000000000000039E5	9.84567187689202683E-1
7.20500000000000007E5	9.84635119071644738E-1
7.22000000000000064E5	9.84703050454086792E-1
7.23499999999999943E5	9.85171051261352027E-1
7.25000000000000000E5	9.85851333804238195E-1
7.26500000000000057E5	9.86531616347124007E-1
7.27999999999999936E5	9.86959559838546596E-1
7.29499999999999993E5	9.86918873662966867E-1
7.30999999999999961E5	9.86878187487386782E-1
7.32500000000000018E5	9.86861712411705128E-1
7.34000000000000075E5	9.87339835519676967E-1
7.35499999999999954E5	9.87817958627648807E-1
7.37000000000000011E5	9.88296081735620646E-1
7.38499999999999979E5	9.88569836932391510E-1
7.40000000000000036E5	9.88773025630676017E-1
7.41500000000000092E5	9.88976214328960523E-1
7.42999999999999972E5	9.89215912815337894E-1
7.44500000000000028E5	9.89502078304742483E-1
7.45999999999999908E5	9.89788243794147427E-1
7.47499999999999964E5	9.90098032896064595E-1
7.49000000000000021E5	9.90557054086781008E-1
7.50499999999999989E5	9.91016075277497599E-1
7.52000000000000046E5	9.91475096468213835E-1
7.53499999999999925E5	9.91648875479313752E-1
7.54999999999999982E5	9.91765606054490334E-1
7.56500000000000039E5	9.91882336629666739E-1
7.58000000000000007E5	9.91750892431886655E-1
7.59500000000000064E5	9.91399368718466079E-1
7.60999999999999943E5	9.91047845005045325E-1
7.62500000000000000E5	9.90753356205852675E-1
7.64000000000000057E5	9.90653457114026459E-1
7.65499999999999936E5	9.90553558022199532E-1
7.66999999999999993E5	9.90453658930373493E-1
7.68499999999999961E5	9.90555737840564809E-1
7.70000000000000018E5	9.90674587487386482E-1
7.71500000000000075E5	9.90793437134207799E-1
7.72999999999999954E5	9.90852357618566870E-1
7.74500000000000011E5	9.90874547325933364E-1
7.75999999999999979E5	9.90896737033299679E-1
7.77500000000000036E5	9.90932021594349166E-1
7.79000000000000092E5	9.90995563471241248E-1
7.80499999999999972E5	9.91059105348132974E-1
7.82000000000000028E5	9.91126177396568764E-1
7.83499999999999908E5	9.91454482139253557E-1
7.84999999999999964E5	9.91782786881937639E-1
7.86500000000000021E5	9.92111091624621544E-1
7.87999999999999989E5	9.92455086579212775E-1
7.89500000000000046E5	9.92805490211906871E-1
7.90999999999999925E5	9.93155893844601323E-1
7.92499999999999982E5	9.93356265792129633E-1
7.94000000000000039E5	9.93337739051463053E-1
7.95500000000000007E5	9.93319212310797006E-1
7.97000000000000064E5	9.93282220080726219E-1
7.98499999999999943E5	9.93084995055499675E-1
8.00000000000000000E5	9.92887770030272598E-1


freq	mag(S(3,3))
5.00000000000000000E5	9.28135988570619652E-1
5.01499999999999968E5	9.27179312373758790E-1
5.02999999999999936E5	9.26213603504107041E-1
5.04499999999999993E5	9.25238809684052477E-1
5.06000000000000050E5	9.24154737912994051E-1
5.07500000000000018E5	9.23030106715537357E-1
5.08999999999999986E5	9.21862814336608949E-1
5.10499999999999954E5	9.21166347828284415E-1
5.12000000000000011E5	9.20681388918272248E-1
5.13499999999999979E5	9.20189126380720168E-1
5.15000000000000036E5	9.19448899472896741E-1
5.16500000000000004E5	9.18310774514459283E-1
5.17999999999999972E5	9.17136013129145233E-1
5.19500000000000028E5	9.15958198291078851E-1
5.20999999999999996E5	9.15110136095362492E-1
5.22499999999999964E5	9.14246477253343315E-1
5.24000000000000021E5	9.13366832552182473E-1
5.25499999999999989E5	9.10072407086992641E-1
5.27000000000000046E5	9.05951139275961026E-1
5.28500000000000014E5	9.01623614056011036E-1
5.29999999999999982E5	8.99434649858415725E-1
5.31499999999999950E5	8.99740818426776379E-1
5.33000000000000007E5	9.00095606818524097E-1
5.34500000000000064E5	9.00107596316822267E-1
5.36000000000000032E5	8.98298195754294859E-1
5.37500000000000000E5	8.96415680234169265E-1
5.38999999999999968E5	8.94455981075202189E-1
5.40499999999999936E5	8.92076263400278080E-1
5.41999999999999993E5	8.89541942602365765E-1
5.43500000000000050E5	8.86892830736439386E-1
5.45000000000000018E5	8.77048605138959125E-1
5.46499999999999986E5	8.61447182720762683E-1
5.47999999999999954E5	8.45271611040744020E-1
5.49500000000000011E5	8.30630355454183800E-1
5.50999999999999979E5	8.21160641178981976E-1
5.52500000000000036E5	8.11272887156440703E-1
5.54000000000000004E5	8.00953492878299400E-1
5.55499999999999972E5	7.97185982532663218E-1
5.57000000000000028E5	7.93540919289638325E-1
5.58499999999999996E5	7.89777992912443061E-1
5.59999999999999964E5	7.80807968616256076E-1
5.61500000000000021E5	7.68916164976849448E-1
5.62999999999999989E5	7.56639845763838359E-1
5.64500000000000046E5	7.45718271134097943E-1
5.66000000000000014E5	7.37549228047846928E-1
5.67499999999999982E5	7.29056244839376255E-1
5.68999999999999950E5	7.20188391926141147E-1
5.70500000000000007E5	7.10507869344475385E-1
5.72000000000000064E5	7.00803331247616157E-1
5.73500000000000032E5	6.91087768300024496E-1
5.75000000000000000E5	6.89203982274063343E-1
5.76499999999999968E5	6.89988445970730169E-1
5.77999999999999936E5	6.90898948958537762E-1
5.79499999999999993E5	6.87211019891765318E-1
5.81000000000000050E5	6.77681257610787213E-1
5.82500000000000018E5	6.68025989881593230E-1
5.83999999999999986E5	6.58047252571357966E-1
5.85499999999999954E5	6.46567654154628180E-1
5.87000000000000011E5	6.34626614398204669E-1
5.88499999999999979E5	6.22208752307504920E-1
5.90000000000000036E5	6.11568301606946463E-1
5.91500000000000004E5	6.01049163277850163E-1
5.92999999999999972E5	5.90243261034392308E-1
5.94500000000000028E5	5.79199233156846383E-1
5.95999999999999996E5	5.67724085992985206E-1
5.97499999999999964E5	5.55701099833985079E-1
5.99000000000000021E5	5.41266936677564381E-1
6.00499999999999989E5	5.20098025898492100E-1
6.02000000000000046E5	4.98009177435998573E-1
6.03500000000000014E5	4.74997285071947406E-1
6.04999999999999982E5	4.54767182780513934E-1
6.06499999999999950E5	4.33804866292578950E-1
6.08000000000000007E5	4.11813096259432943E-1
6.09500000000000064E5	3.91669212039369796E-1
6.11000000000000032E5	3.72600780814095467E-1
6.12500000000000000E5	3.53006849394977218E-1
6.13999999999999968E5	3.25501238653040659E-1
6.15499999999999936E5	2.81995891485016248E-1
6.16999999999999993E5	2.37990365208729893E-1
6.18500000000000050E5	1.94846611134112502E-1
6.20000000000000018E5	1.79685589777106625E-1
6.21499999999999986E5	1.64203970712986447E-1
6.22999999999999954E5	1.48404664127276353E-1
6.24500000000000011E5	1.29554599766933043E-1
6.25999999999999979E5	1.17385826029548057E-1
6.27500000000000036E5	1.15540261645945530E-1
6.29000000000000004E5	1.13666916115875583E-1
6.30499999999999972E5	1.10586806044026686E-1
6.32000000000000028E5	1.21598680779255286E-1
6.33499999999999996E5	1.40869971332637989E-1
6.34999999999999964E5	1.46316706080881076E-1
6.36500000000000021E5	1.53999948154239741E-1
6.37999999999999989E5	1.63707254464977892E-1
6.39500000000000046E5	1.91901592412606448E-1
6.40999999999999925E5	2.22721153929281135E-1
6.42499999999999982E5	2.51989935244807173E-1
6.44000000000000039E5	2.73220467219598762E-1
6.45500000000000007E5	2.89436632176731834E-1
6.47000000000000064E5	3.07714516619242806E-1
6.48499999999999943E5	3.30139329362528233E-1
6.50000000000000000E5	3.61273407540331082E-1
6.51500000000000057E5	3.90509857976436736E-1
6.52999999999999936E5	4.17944810426900304E-1
6.54499999999999993E5	4.40265668432931800E-1
6.55999999999999961E5	4.61558944151056139E-1
6.57500000000000018E5	4.82220672786815907E-1
6.59000000000000075E5	5.01031197970417175E-1
6.60499999999999954E5	5.18206666537092531E-1
